SDSS_name,objID,L_pred
SDSS J110438.93+624456.4,1237651249884627014,0.94
SDSS J112601.00+015902.8,1237654029254787278,0.97
SDSS J111533.29+050655.5,1237654605866467380,0.99
SDSS J164705.63+434857.5,1237654953741779252,0.99
SDSS J103843.15+563314.6,1237655107298263190,0.97
SDSS J131834.58+042910.7,1237655125015855301,0.95
SDSS J154221.88+022802.8,1237655470212645107,0.96
SDSS J151625.03+004228.9,1237655467525472572,0.95
SDSS J151623.04+055153.3,1237655744557482337,0.96
SDSS J233032.66-000813.8,1237657190902005866,0.94
SDSS J093854.35+482041.3,1237657591386013772,0.99
SDSS J161515.12+010800.9,1237655551815844393,0.97
SDSS J075009.23+304356.5,1237657594609467729,0.93
SDSS J094337.14+501634.9,1237657633263255583,0.98
SDSS J130027.29+495849.9,1237658205051224147,0.96
SDSS J110436.86+062342.1,1237658298463617148,0.98
SDSS J133722.96+530630.8,1237658801506156622,0.98
SDSS J143538.50+554618.7,1237659150458028153,0.93
SDSS J160717.61+412413.0,1237659163348500714,0.94
SDSS J102132.19+092224.0,1237660584982544503,0.99
SDSS J102745.47+095642.2,1237660585520070878,0.87
SDSS J093853.46+094500.6,1237660670350327965,0.97
SDSS J102133.60+115744.0,1237661068176851115,0.99
SDSS J094829.04+344902.5,1237661136883548293,0.97
SDSS J135815.32+454901.4,1237661362910789755,0.98
SDSS J112656.00-011915.7,1237650372088954982,0.98
SDSS J130917.34+025908.9,1237651754554753277,0.94
SDSS J000701.59+140623.6,1237652942102331552,0.91
SDSS J014331.73+133049.5,1237653651309068452,0.99
SDSS J130150.28+042000.2,1237654879654772871,0.94
SDSS J151118.19+610725.1,1237654949983354964,0.87
SDSS J114405.08+601245.7,1237655108912873707,0.96
SDSS J161659.35+475216.2,1237655129837207709,0.99
SDSS J170443.10+343330.6,1237655502961180880,0.97
SDSS J141605.26-011537.3,1237655693547274346,0.96
SDSS J102953.88+482119.5,1237657628447670342,0.98
SDSS J092752.71+483124.0,1237657633261879340,0.9
SDSS J122105.48+610514.2,1237658313478045752,0.97
SDSS J095720.98+071119.4,1237658425159843953,0.97
SDSS J110156.42+101726.6,1237658493883711562,0.97
SDSS J140420.14+505504.1,1237658800434446417,0.94
SDSS J164817.37+355028.0,1237659327105401268,0.9
SDSS J155626.06+465406.3,1237659331384967314,0.87
SDSS J025503.19-011122.0,1237660024522932282,0.98
SDSS J092752.35+071505.3,1237660412114829552,0.93
SDSS J234123.81-095353.1,1237653441376288950,0.98
SDSS J155624.49+422343.7,1237661387076927723,0.98
SDSS J165256.51+225736.6,1237661465457918557,0.95
SDSS J163150.97+274755.9,1237661465991840036,0.96
SDSS J113621.22+444001.8,1237661872937042089,0.98
SDSS J130948.57+113904.7,1237661949186146422,0.97
SDSS J103945.32+113849.6,1237661950243831940,0.95
SDSS J135807.05-002332.9,1237648704051675158,0.97
SDSS J095405.93+003901.9,1237648722290671857,0.98
SDSS J125156.03-020439.2,1237650371024519173,0.92
SDSS J130054.49-012047.9,1237650372099244132,0.95
SDSS J084747.87+511401.9,1237651190284157119,0.95
SDSS J085453.56+534125.6,1237651251486916785,0.97
SDSS J204515.04-053721.8,1237652600097669270,0.96
SDSS J204539.74-053523.9,1237652600097669636,0.91
SDSS J221410.26+131643.8,1237652943700951370,0.94
SDSS J004509.07-093754.1,1237652947993624616,0.98
SDSS J093744.14+024538.9,1237654604245106766,0.92
SDSS J112227.41+041712.4,1237654604793446630,0.99
SDSS J080846.82+280444.3,1237658191608938717,0.99
SDSS J142434.53+050343.8,1237654881274429589,0.92
SDSS J164923.30+431550.2,1237654953742041172,0.98
SDSS J103231.86+564248.9,1237655107834806420,0.98
SDSS J144719.66-005726.9,1237655693550747840,0.98
SDSS J230240.24-005159.4,1237656906348822667,0.92
SDSS J000012.78+010712.7,1237657192515829920,0.99
SDSS J111221.91+540138.2,1237657590855958659,0.85
SDSS J074018.11+282751.5,1237657608029667422,0.91
SDSS J103929.71+054743.4,1237658422480011326,0.97
SDSS J132513.27+535112.5,1237658917460377677,0.98
SDSS J095933.31+433938.0,1237658203963850895,0.86
SDSS J112906.24+474100.4,1237661358614380605,0.93
SDSS J155632.98+415353.2,1237661386540187877,0.99
SDSS J101526.19+403247.9,1237661850922451014,0.96
SDSS J111608.25+110255.1,1237661948637085784,0.87
SDSS J124232.91+404702.8,1237662226216845400,0.87
SDSS J150849.64+001041.0,1237648704596279527,0.97
SDSS J011907.98+143555.6,1237649920041484410,0.97
SDSS J214905.29-071615.1,1237652600641486957,0.99
SDSS J123022.07+504222.4,1237658205585997897,0.94
SDSS J103153.55+622404.0,1237654399687655524,0.89
SDSS J163017.76+403554.9,1237655373573193927,0.93
SDSS J163103.87+410921.7,1237655374109868301,0.95
SDSS J150934.55+045229.1,1237655742946214010,0.98
SDSS J114329.35+102042.4,1237658493351297329,0.95
SDSS J233333.24+153308.2,1237656496721494166,0.98
SDSS J090139.32+421209.7,1237657400807325700,0.95
SDSS J083510.37+371557.4,1237657630584799400,1.0
SDSS J113931.15+074547.3,1237658424097177712,0.98
SDSS J154633.48+415503.3,1237659132752625821,0.99
SDSS J114815.10+553659.3,1237658803109757300,0.96
SDSS J141543.97+540235.2,1237661417675882589,0.97
SDSS J121505.36+133541.0,1237661951327797320,0.96
SDSS J130903.27+065752.6,1237661971190906898,0.96
SDSS J114610.37+073102.4,1237661971718733984,0.92
SDSS J121502.94+413333.7,1237662193452384310,0.95
SDSS J115538.33+430245.1,1237662195598295134,0.88
SDSS J162434.17+211141.7,1237662224091447731,0.98
SDSS J153713.26+431753.9,1237659132751642708,0.99
SDSS J033758.86-061614.2,1237649962993975369,0.98
SDSS J092243.13+573103.8,1237651191898308748,0.94
SDSS J083041.28+521802.3,1237651495761543366,0.99
SDSS J144201.80+631950.5,1237651539255754998,0.98
SDSS J150120.75+014543.6,1237651736313659757,0.97
SDSS J105525.13+031647.6,1237651755077009545,0.98
SDSS J110230.70+023706.4,1237654030325973054,0.98
SDSS J102910.22+050822.8,1237654606398292144,0.92
SDSS J160709.62+474354.9,1237655465931178393,0.86
